id,locality,locality_aka,state,country,iso3,continent,lat,lon,gmp,population_locality,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,channel
70,Guatemala City,[],,Guatemala,GTM,North America,14.6416142,-90.5132836,0.0,994938,18687881.0,22.9,86.87,157.64,24.4,45.2,262.62,[FbgIr1TpqHk],[[0]],[[10191]],[[13791]],[0],[31052024],[UCSMCv9FDp2R9_p1e0k61KwQ]
71,Tegucigalpa,[],,Honduras,HND,North America,14.1057433,-87.2040052,0.0,850848,11005850.0,16.1,87.61,162.39,25.3,45.7,111.43,[nd8CRIvtFQk],"[[0,0]]","[[16103,18744]]","[[17677,20770]]",[0],[1052024],[UCSMCv9FDp2R9_p1e0k61KwQ]
72,Hamilton,[],,Bermuda,BMU,North America,32.2942679,-64.7853167,0.0,902,64555.0,,,172.91,43.7,,156.83,[n1y5wKkQ0Lo],"[[0,0]]","[[142,3188]]","[[772,6158]]",[0],[15072019],[UCSQGRH5Sgiy9JtqVWNRbepw]
73,St. John's,[St John's],,Antigua and Barbuda,ATG,North America,17.1184569,-61.8448509,0.0,24226,94209.0,0.0,98.4,172.28,33.6,,0.0,"[NPEyG-90vJQ,rLp1zeJZAGc]","[[0],[0]]","[[7],[0]]","[[1181],[2426]]","[0,0]","[30032022,14042022]","[UCWkT9tdiOCI3woQCZrCvMaA,UCWkT9tdiOCI3woQCZrCvMaA]"
74,Panama City,[],,Panama,PAN,North America,8.9714493,-79.5341802,83318.18,408168,4571189.0,13.9,97.07,164.19,31.2,49.7,156.4,"[TaHg6oZvHsA,RuqSbnAIF8Q]","[[0],[0]]","[[40],[3]]","[[2814],[829]]","[0,0]","[17062023,27012023]","[UCPDPB6iDcz0aI3YWHyK2tsg,UCPDPB6iDcz0aI3YWHyK2tsg]"
75,Nuuk,[],,Greenland,GRL,North America,64.1766835,-51.7359356,0.0,14798,56831.0,,,167.62,35.0,,0.0,"[WJ92rHr-sH8,QfLds1UyjmE]","[[0],[0]]","[[68],[26]]","[[1287],[2407]]","[0,0]","[22032021,28032021]","[UCM2cnlbP3XhKhLo7Hp1il6g,UCM2cnlbP3XhKhLo7Hp1il6g]"
76,Trinidad,[],,Cuba,CUB,North America,21.8052055,-79.9845797,0.0,60206,10937203.0,8.9,99.03,166.85,42.3,,0.0,"[qfo_F-lXRIg,CZBU4goAROU]","[[0,0],[0]]","[[655,2801],[7990]]","[[810,5439],[8797]]","[0,0]","[1082016,1052015]","[UCD03LYwS3ZAePy-teSkg37Q,UCD03LYwS3ZAePy-teSkg37Q]"
77,San Juan,[],,Puerto Rico,PRI,North America,18.416427,-66.058742,0.0,418140,3184835.0,,92.39,171.27,45.6,,160.73,"[OzrW7fuJUc0,4S7Y8tSVhQw,zlRCGTm6y9s]","[[0],[0],[0]]","[[0],[0],[0]]","[[1708],[1830],[62]]","[0,0,0]","[24082024,21122024,21092024]","[UC3vREfT7nB33h2bhAaX1vhg,UC3vREfT7nB33h2bhAaX1vhg,UC3vREfT7nB33h2bhAaX1vhg]"
78,Port-au-Prince,[],,Haiti,HTI,North America,18.547327,-72.3395928,0.0,1234742,11906095.0,18.8,72.94,166.4,24.7,41.1,597.17,"[atR8xxmKd_Y,k5NawsokS-8,xMjJXchCx8s]","[[0],[0],[0]]","[[13],[11],[14]]","[[426],[1549],[1663]]","[0,0,0]","[31072024,10082024,4082024]","[UCEcC0rzOg3NKOdv2p33r1-Q,UCEcC0rzOg3NKOdv2p33r1-Q,UCEcC0rzOg3NKOdv2p33r1-Q]"
79,Kingston,[],,Jamaica,JAM,North America,17.9712148,-76.7928128,0.0,937700,2837077.0,15.1,74.08,170.65,30.5,39.9,215.58,"[FZ6jnPXDmXc,8dWgC409JbI,nYSkVnkRZ3k]","[[0],[0],[0]]","[[78],[60],[60]]","[[1004],[1626],[1168]]","[0,0,0]","[12012022,26062022,9022023]","[UCJ9UT9T86mYN4xvyEh5U2sQ,UCJ9UT9T86mYN4xvyEh5U2sQ,UCJ9UT9T86mYN4xvyEh5U2sQ]"
